이름,정당,당선횟수,선거구,소속위원회,보좌관,선임비서관,비서관,변경사항,URL,수집일시
구자근,국민의힘,재선,경북 구미시갑,산업통상자원중소벤처기업위원회,"이창현,정준용","김진천,원치완","문영수,변자경,정지융,엄재호,이재준",,https://www.assembly.go.kr/members/22nd/KUJAKEUN,2025-08-11T07:27:02.000
권영세,국민의힘,5선,서울 용산구,"정보위원회, 기획재정위원회","류희태,이정훈","공영걸,이효진","김용종,강보람,이수지,박준영,김동현,오영택",보좌관 변경,https://www.assembly.go.kr/members/22nd/KWONYOUNGSE,2025-08-11T07:27:41.000
김상훈,국민의힘,4선,대구 서구,정무위원회,"서태은,최병용","김성훈,서민정","권기림,김민영,최승민,박정결,권신혜",,https://www.assembly.go.kr/members/22nd/KIMSANGHOON,2025-08-11T07:26:08.000
김영진,더불어민주당,3선,경기 수원시병,"기획재정위원회, 정보위원회","최찬민,최호연","김영준,정승민","이효병,김혜선,서동우,이용진,구병훈","보좌관 변경, 선임비서관 변경",https://www.assembly.go.kr/members/22nd/KIMYOUNGJIN,2025-08-11T07:26:03.000
김영환,더불어민주당,초선,경기 고양시정,기획재정위원회,"류종철,민현석","강태영,서상원","정수현,김수현,류지해,정민구",비서관 변경,https://www.assembly.go.kr/members/22nd/KIMYOUNGWHAN,2025-08-11T07:26:17.000
김태년,더불어민주당,5선,경기 성남시수정구,기획재정위원회,"강경훈,황현진",안승태,"배지은,김두성,고이화,유지수","보좌관 변경, 선임비서관 변경, 비서관 변경",https://www.assembly.go.kr/members/22nd/KIMTAENYEON,2025-08-11T07:26:24.000
박대출,국민의힘,4선,경남 진주시갑,기획재정위원회,"배시열,최두식","김영주,정진효","이상조,김세아,심효은,강성중,우정인",,https://www.assembly.go.kr/members/22nd/PARKDAECHUL,2025-08-11T07:27:05.000
박성훈,국민의힘,초선,부산 북구을,"국회운영위원회, 기획재정위원회","우성필,임원식","김성순,하현수","김수한,유창은,박준하,송지은,우성훈","소속위원회 변경, 비서관 변경",https://www.assembly.go.kr/members/22nd/PARKSUNGHOON,2025-08-11T07:27:07.000
박수민,국민의힘,초선,서울 강남구을,"국회운영위원회, 연금개혁 특별위원회, 행정안전위원회","기훈종,윤나영","이수영,정재도","이은정,강정욱,이우람,이승희,강미선",,https://www.assembly.go.kr/members/22nd/PARKSOOMIN,2025-08-11T07:27:36.000
박수영,국민의힘,재선,부산 남구,기획재정위원회,"장상택,정세영","이준희,이지영","김정섭,박세민,이현조,신은경,김다연",,https://www.assembly.go.kr/members/22nd/PARKSOOYOUNG,2025-08-11T07:26:59.000
