Keyword,Title,Description,Original Link,Link,Publication Date
이재명,&quot;경기 발전 계획 공유&quot;...與경기지사 예비후보 5인 면접,"특히 &quot;제가 광명시장을 8년 할 때 이재명 대통령이 성남시장을 했다&quot;며 &quot;당시 실용과 혁신, 무상급식, 무상 교복 등 기반을 같이 맞춰 놨기 때문에 경기도민의 삶을 바꾸고 이를 토대로 이재명 정부 성공을 뒷받침하겠다&quot;고... ",https://www.mt.co.kr/politics/2026/02/24/2026022411122741147,https://n.news.naver.com/mnews/article/008/0005321508?sid=100,"Tue, 24 Feb 2026 14:38:00 +0900"
이재명,"한-브라질 정상회담, 한-남미공동시장 무역협정 체결 위한 협상 재개 공...","이재명 대통령은 23일 오전 청와대에서 국빈 방한한 루이스 이나시우 룰라 다시우바 브라질 대통령과... 한편, 이재명 대통령 부부는 이날 저녁 룰라 다 시우바 대통령 부부와 브라질 대표단을 청와대 영빈관으로 초청해... ",https://www.kdpress.co.kr/news/articleView.html?idxno=202888,https://www.kdpress.co.kr/news/articleView.html?idxno=202888,"Tue, 24 Feb 2026 14:38:00 +0900"
이재명,오기형 &quot;삼천스닥 언급한 적 없다&quot;,매체는 &quot;더불어민주당 코스피 5000특별위원회는 22일 이재명 대통령과의 청와대 오찬에서 “다음 목표로 디지털자산을 활용해 코스닥 3000을 달성해야 한다”는 의견을 전달한 것으로 나타났다&quot;며 &quot;23일 정치권에 따르면... ,https://www.smarttoday.co.kr/ko-kr/articles/103649,https://www.smarttoday.co.kr/ko-kr/articles/103649,"Tue, 24 Feb 2026 14:38:00 +0900"
이재명,'5월 9일 다주택 양도세 중과' 시행된다...시행령 개정안 국무회의 의결,이밖에 고액 상습 체납자 명단공개 제외 대상을 산정하는 조건도 명확화했습니다. 이날 의결한 시행령 개정안은 27일 공포될 예정입니다. #이재명정부 #다주택 #양도중과 #시행령 #소득세법,https://www.ikbc.co.kr/article/view/kbc202602240051,https://n.news.naver.com/mnews/article/660/0000104003?sid=100,"Tue, 24 Feb 2026 14:37:00 +0900"
이재명,"日선거판 바꾼 '유튜브', 2년만에 10배 뛴 총 28억뷰…다카이치 4억5000만...",윤석열 전 대통령과 이재명 대통령은 대선 당시 각각 수백만 조회 수를 기록한 영상 콘텐츠를 통해 지지층 결집에 나선 바 있다. 또 정치 성향이 뚜렷한 유튜브 채널들이 특정 후보를 집중 조명하거나 비판하면서 온라인... ,https://view.asiae.co.kr/article/2026022414162235444,https://n.news.naver.com/mnews/article/277/0005725160?sid=104,"Tue, 24 Feb 2026 14:37:00 +0900"
이재명,'李대통령 살해 협박 글' 10대 2명 불구속 송치…손해배상 청구 심의,경찰이 관공서 인터넷 게시판에 이재명 대통령에 대한 살해 협박 글을 올린 10대 남성 2명을 붙잡았다. 서울경찰청 사이버범죄수사대는 협박 및 위계에 의한 공무집행방해 혐의를 받는 10대 남성 2명을 검거해 불구속... ,https://www.news1.kr/society/court-prosecution/6081205,https://n.news.naver.com/mnews/article/421/0008790175?sid=102,"Tue, 24 Feb 2026 14:36:00 +0900"
이재명,"보험연구원 제7대 원장에 김헌수 순천향대 교수 선출, 3월1일 3년 임기 ...","금융감독원에서는 제재심의위원회 위원, 보험산업감독혁신TF 위원장, 옴브즈만 위원, 금융감독자자문위원회 보험분과위원장 등을 맡았다. 이재명 정부 출범 이후 국정기획위원회 제1경제분과 자문위원으로도 일했다.",https://www.businesspost.co.kr/BP?command=article_view&num=430955,https://www.businesspost.co.kr/BP?command=article_view&num=430955,"Tue, 24 Feb 2026 14:36:00 +0900"
이재명,'전한길 콘서트'에 브레이크 건 김동연 &quot;극우 망상 세력이 활개 쳐&quot;,"&quot;윤석열 대통령 응원의 뜻을 담아 8.15 자유 콘서트 때처럼 이번 콘서트 역시 무기징역 선고에 저항의 뜻을 담아 자유 애국 보수 시민들이 모여서 함께 응원할 것&quot;, &quot;'범죄자 이재명 재판받아라', '윤석열 대통령 만세', '윤... ",https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003209557&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://n.news.naver.com/mnews/article/047/0002505858?sid=100,"Tue, 24 Feb 2026 14:36:00 +0900"
이재명,국민의힘 광주시당 &quot;전남광주특별법 재정·권한 이양 빠져…졸속 통과 ...,"또 &quot;이재명 대통령이 행정통합을 지방 주도 성장과 국가 생존 전략으로 강조했지만, 중앙부처가 기득권을 내려놓지 않는다면 이번 전남광주특별시 추진은 6·3지방선거 주도권을 쥐기 위한 정략적 책동으로 볼 수밖에... ",https://www.nocutnews.co.kr/news/6475563?utm_source=naver&utm_medium=article&utm_campaign=20260224023522,https://n.news.naver.com/mnews/article/079/0004118367?sid=102,"Tue, 24 Feb 2026 14:36:00 +0900"
이재명,"식약처, 브라질 위생감시청과 양해각서 체결…&quot;K-뷰티 중남미 수출 적극...",서울경제티브이 이슬비 기자 식품의약품안전처는 23일 이재명 대통령과 브라질 룰라 대통령의 정상회담에서 양국 정상이 임석한 가운데 브라질 위생감시청과 ‘보건 관련 제품 분야 규제 협력’에 관한 양해각서(MOU)를... ,https://www.sentv.co.kr/article/view/sentv202602240146,https://www.sentv.co.kr/article/view/sentv202602240146,"Tue, 24 Feb 2026 14:36:00 +0900"
